n_features,n_samples,embedding_dim,sigma_theta,sigma_Z,sample_cov_SSE,sample_cov_RMSE,ledoit_wolf_SSE,ledoit_wolf_RMSE,latent_model_SSE,latent_model_RMSE
500,50,10,1.0,1.0,425304.1960241798,1.3043070129753649,413917.7118457273,1.2867287388501545,3016039.5231652763,3.473349693402769
500,50,10,1.0,1.0,462586.4723542789,1.3602741964093543,377517.531844009,1.2288491068377907,2643760.350210579,3.2519288738904355
500,50,10,1.0,1.0,706075.6035808958,1.6805660993616356,545519.3114675778,1.4771855827452118,2608484.6020891103,3.2301607403280164
500,50,10,1.0,1.0,503787.8519592009,1.419560286791936,480727.03393990645,1.386689632094949,2639475.068774893,3.249292272957232
500,50,10,1.0,1.0,398845.6963224696,1.263084631087671,418191.3947590746,1.293354390349489,2803147.2241606843,3.348520404095328
500,50,10,1.0,1.0,499363.4849785307,1.4133131075292984,435569.17857723264,1.319953300048502,2365792.230836549,3.0762264096366825
500,50,10,1.0,1.0,425507.5379674493,1.3046187764514954,450907.3769442084,1.3429927430097428,2226190.893441701,2.9840850480116687
500,50,10,1.0,1.0,503394.9848084559,1.4190066734282205,413781.2543088412,1.286516621437657,2853291.2264846074,3.37833759502191
500,50,10,1.0,1.0,423192.0277286687,1.3010642224404891,377514.1628609967,1.228843623673894,2804101.469855494,3.349090306250635
100,5,10,1.0,1.0,182031.3808764724,4.266513575232972,98368.97667144448,3.1363828954935418,116370.94736778756,3.411318621410019
100,5,10,1.0,1.0,65098.49812092204,2.5514407326238646,52645.8395926149,2.2944681212127334,87502.73840325583,2.958086178650917
100,5,10,1.0,1.0,298609.2671006588,5.464515231021492,108436.81138162436,3.292974512224842,121522.68264225316,3.4860103649050327
100,5,10,1.0,1.0,193495.855306078,4.398816378369049,97461.87092471232,3.121888385652381,129086.25499262482,3.5928575673497662
100,5,10,1.0,1.0,100601.84754620762,3.171779430323104,70992.3639691475,2.664439227476347,114244.70256104638,3.3800103928989085
100,5,10,1.0,1.0,616464.2310658375,7.851523616890148,139969.05423271857,3.7412438337098335,146418.67623024428,3.8264693417071074
100,5,10,1.0,1.0,127539.71194914344,3.571270249493077,75017.93022149648,2.7389401275218934,114700.167634081,3.386741319234184
100,5,10,1.0,1.0,166295.3968986445,4.077933262066025,81551.74671831552,2.8557266451520795,113718.12608347811,3.372211827324585
100,5,10,1.0,1.0,139807.1651892598,3.7390796352746993,80746.08091656186,2.841585489063488,132299.75995508383,3.637303396131313
100,5,10,1.0,1.0,88264.5700314665,2.970935375121218,62351.767852688376,2.497033597144587,106631.40572853548,3.2654464584270166
100,10,10,1.0,1.0,68952.00126114165,2.625871307987915,50469.37636740159,2.24653903521398,103187.26266599887,3.212277426779929
100,10,10,1.0,1.0,145525.66522428812,3.8147826310851327,74501.27885124047,2.72949223943283,122058.93411432314,3.4936933768481047
100,10,10,1.0,1.0,66847.56017478798,2.585489512157958,45308.15007812073,2.128571118805306,109810.8371911516,3.3137718266523963
100,10,10,1.0,1.0,108993.39003169585,3.30141469724262,58750.91169444774,2.4238587354556733,97254.25001752656,3.118561367321904
100,10,10,1.0,1.0,101992.8742851733,3.19363232519295,60793.32173968944,2.4656301778589875,103358.59464062916,3.21494315098462
100,10,10,1.0,1.0,137665.57449468604,3.710331177869248,73996.8527387426,2.7202362533196016,121438.47211299144,3.4848023202613865
100,10,10,1.0,1.0,140153.8362950527,3.743712546324206,77743.00879585314,2.788243332204941,129403.85058569052,3.5972746709931744
100,10,10,1.0,1.0,55970.186607214135,2.365801906483596,66861.94441318551,2.5857676696328604,102230.80484851304,3.197355232821544
100,10,10,1.0,1.0,86865.9056067262,2.947302251326223,60882.38321640929,2.467435575985912,108900.61524814798,3.3000093219284694
100,10,10,1.0,1.0,87773.17828248956,2.962653848874174,48835.91580742686,2.209884970025066,109446.02946937962,3.30826282918059
100,25,10,1.0,1.0,27580.38528061349,1.6607343339804077,26570.757460210127,1.6300539089309327,94847.59899267304,3.0797337383720857
100,25,10,1.0,1.0,34426.47096747084,1.8554371713283864,32952.715363815034,1.8152882791395708,90784.74613556697,3.013050715397386
100,25,10,1.0,1.0,33677.53187794261,1.83514391473646,28584.78376174736,1.6907035151601049,84245.11892426774,2.902500971994113
100,25,10,1.0,1.0,32329.01212988144,1.798027033441973,27290.57903485689,1.651986048211573,80867.11253108572,2.8437143409823302
100,25,10,1.0,1.0,54261.51169303524,2.32941004748059,32139.95233177463,1.7927619008606424,101061.99999214004,3.179025007642124
100,25,10,1.0,1.0,31601.55847576897,1.7776827184784398,35078.74118279656,1.872931957728218,90821.32581985428,3.013657674983248
100,25,10,1.0,1.0,42752.00280610787,2.0676557451884454,30035.37256334225,1.7330716246982485,99572.2869394356,3.155507676102779
100,25,10,1.0,1.0,43760.5408389032,2.091902025404229,34652.08388941376,1.86150702092186,109889.97886928676,3.314965744457803
100,25,10,1.0,1.0,76636.14031051933,2.768323324875895,45068.01082737097,2.12292276890543,115829.086703841,3.403367254702921
100,25,10,1.0,1.0,21267.56268329883,1.4583402443633935,27884.73063551461,1.669872169823625,80384.99504033911,2.8352247713424608
100,100,10,1.0,1.0,13438.47065041727,1.159244178351449,12021.639632457063,1.096432379695942,90711.12882024652,3.0118288268134776
100,100,10,1.0,1.0,7891.849505531987,0.8883608222750475,8068.831596523114,0.8982667530596417,81695.11141535065,2.8582356693483244
100,100,10,1.0,1.0,11250.38295831233,1.0606782244541615,8957.519155001584,0.9464417126797394,87284.56142356146,2.9543960706642145
100,100,10,1.0,1.0,9317.86193666016,0.965290730125394,7390.808765111456,0.8596981310385324,69772.4471728819,2.6414474663123984
100,100,10,1.0,1.0,7378.636602910851,0.858989906978589,7747.807576527951,0.8802163129894804,108625.64976398706,3.2958405568835856
100,100,10,1.0,1.0,4569.21976452752,0.6759600405739616,5202.227114438844,0.7212646611639063,77941.30900458846,2.791797073653249
100,100,10,1.0,1.0,11934.46242576826,1.0924496521931006,10111.084203413026,1.0055388706267412,92806.70489040116,3.0464192897630022
100,100,10,1.0,1.0,11637.735649274982,1.078783372567217,10717.167744592747,1.0352375449428382,84160.86723370849,2.901049245250906
100,100,10,1.0,1.0,8263.488838501347,0.9090373390846684,7671.367463583992,0.8758634290563794,91769.000965145,3.029339878012122
100,100,10,1.0,1.0,13321.27934022146,1.1541784671454176,9520.10095516904,0.9757100468463488,92366.13483762433,3.0391797386404167
100,500,10,1.0,1.0,1860.5343478908544,0.4313391180835393,1835.7411926721763,0.4284555044193242,82895.54899024284,2.87915871376072
100,500,10,1.0,1.0,1879.81267144478,0.4335680651806333,2056.6960944877915,0.4535081139833985,78123.47633915405,2.795057715668033
100,500,10,1.0,1.0,3730.526395725767,0.6107803529687057,3579.645684248881,0.5983014026599704,86752.31798395609,2.9453746448279894
